x_rot,y_rot,z_rot
305,0,0
305,5,0
305,10,0
305,15,0
305,20,0
305,25,0
305,30,0
305,35,0
305,40,0
305,45,0
305,50,0
305,55,0
305,60,0
305,65,0
305,70,0
305,75,0
305,80,0
305,85,0
305,90,0
305,95,0
305,100,0
305,105,0
305,110,0
305,115,0
305,120,0
305,125,0
305,130,0
305,135,0
305,140,0
305,145,0
305,150,0
305,155,0
305,160,0
305,165,0
305,170,0
305,175,0
305,180,0
305,185,0
305,190,0
305,195,0
305,200,0
305,205,0
305,210,0
305,215,0
305,220,0
305,225,0
305,230,0
305,235,0
305,240,0
305,245,0
305,250,0
305,255,0
305,260,0
305,265,0
305,270,0
305,275,0
305,280,0
305,285,0
305,290,0
305,295,0
305,300,0
305,305,0
305,310,0
305,315,0
305,320,0
305,325,0
305,330,0
305,335,0
305,340,0
305,345,0
305,350,0
305,355,0
