x_rot,y_rot,z_rot
280,0,0
280,5,0
280,10,0
280,15,0
280,20,0
280,25,0
280,30,0
280,35,0
280,40,0
280,45,0
280,50,0
280,55,0
280,60,0
280,65,0
280,70,0
280,75,0
280,80,0
280,85,0
280,90,0
280,95,0
280,100,0
280,105,0
280,110,0
280,115,0
280,120,0
280,125,0
280,130,0
280,135,0
280,140,0
280,145,0
280,150,0
280,155,0
280,160,0
280,165,0
280,170,0
280,175,0
280,180,0
280,185,0
280,190,0
280,195,0
280,200,0
280,205,0
280,210,0
280,215,0
280,220,0
280,225,0
280,230,0
280,235,0
280,240,0
280,245,0
280,250,0
280,255,0
280,260,0
280,265,0
280,270,0
280,275,0
280,280,0
280,285,0
280,290,0
280,295,0
280,300,0
280,305,0
280,310,0
280,315,0
280,320,0
280,325,0
280,330,0
280,335,0
280,340,0
280,345,0
280,350,0
280,355,0
