x_rot,y_rot,z_rot
250,0,0
250,5,0
250,10,0
250,15,0
250,20,0
250,25,0
250,30,0
250,35,0
250,40,0
250,45,0
250,50,0
250,55,0
250,60,0
250,65,0
250,70,0
250,75,0
250,80,0
250,85,0
250,90,0
250,95,0
250,100,0
250,105,0
250,110,0
250,115,0
250,120,0
250,125,0
250,130,0
250,135,0
250,140,0
250,145,0
250,150,0
250,155,0
250,160,0
250,165,0
250,170,0
250,175,0
250,180,0
250,185,0
250,190,0
250,195,0
250,200,0
250,205,0
250,210,0
250,215,0
250,220,0
250,225,0
250,230,0
250,235,0
250,240,0
250,245,0
250,250,0
250,255,0
250,260,0
250,265,0
250,270,0
250,275,0
250,280,0
250,285,0
250,290,0
250,295,0
250,300,0
250,305,0
250,310,0
250,315,0
250,320,0
250,325,0
250,330,0
250,335,0
250,340,0
250,345,0
250,350,0
250,355,0
